gene	transcript	D01_Ctrl_0h	D01_Lps_1h	D01_Lps_2h	D01_Lps_4h	D01_Lps_6h	D09_Ctrl_0h	D09_Lps_1h	D09_Lps_2h	D09_Lps_4h	D09_Lps_6h
C9orf152	NA	0	0	3	0	5	1	0	6	6	2
RPS11	NA	11825	13716	7204	4339	11187	5855	6940	4941	7354	6446
ELMO2	NA	773	805	372	490	1776	518	615	347	949	1190
CREB3L1	NA	2	1	0	0	2	6	2	0	0	0
PNMA1	NA	334	414	212	156	489	268	317	325	505	386
MMP2	NA	1	4	0	1	4	75	83	98	87	84
TMEM216	NA	29	33	5	4	9	20	30	18	9	13
TRAF3IP2-AS1	NA	30	47	40	49	70	18	38	45	62	34
LRRC37A5P	NA	0	0	0	0	0	0	0	0	0	0
LOC653712	NA	0	0	2	0	0	0	0	0	2	1
C10orf90	NA	0	0	0	0	0	0	0	0	0	0
LOC101929315	NA	0	0	0	0	0	0	0	0	0	0
ZHX3	NA	342	396	179	12	33	285	317	156	51	31
ERCC5	NA	1103	1156	473	118	444	649	700	360	288	351
GPR98	NA	0	1	0	1	3	0	3	0	0	0
RXFP3	NA	0	0	0	0	0	0	0	0	0	0
CTAGE10P	NA	0	0	0	0	0	0	0	0	0	0
APBB2	NA	17	38	22	24	60	27	32	31	88	69
KLHL13	NA	1	8	3	0	0	11	16	7	2	0
KRTAP10-8	NA	0	0	0	0	0	0	0	0	0	0
NAPRT	NA	234	308	145	79	65	198	218	207	131	82
PDCL3	NA	124	157	72	48	64	126	105	101	70	77
AEN	NA	204	264	214	97	188	86	204	321	432	246
FRG2	NA	0	0	0	0	0	0	0	0	0	0
DECR1	NA	1299	1598	708	452	888	778	1025	658	855	658
SALL1	NA	0	0	0	0	0	0	0	0	0	0
GGT3P	NA	0	0	0	0	0	0	0	1	1	0
CADM4	NA	10	19	7	4	5	11	7	5	8	11
MIR6500	NA	0	0	0	0	0	0	0	0	0	0
RPS18	NA	11077	13093	6141	3758	9254	5050	6754	4400	6917	5099
SLC10A7	NA	252	271	147	44	72	195	217	111	77	91
CFHR5	NA	0	0	0	0	0	0	0	0	0	0
OR2K2	NA	0	0	0	0	0	0	0	0	0	0
BRIX1	NA	196	197	83	19	58	103	124	54	69	95
PXYLP1	NA	73	109	20	22	66	34	49	34	41	59
MIR378F	NA	0	0	0	0	0	0	0	0	0	0
LMAN1	NA	2266	2633	1262	804	1890	2177	2338	1653	2427	2248
CHD8	NA	2248	2345	768	813	2485	1655	1529	675	1967	1985
SUMO1	NA	943	1075	477	365	740	687	821	575	807	680
MIR941-2	NA	0	0	0	0	0	0	0	0	1	0
GP1BA	NA	47	132	258	428	1280	33	193	577	1227	1364
BSN-AS2	NA	0	0	0	0	0	0	0	0	0	0
BOLA3-AS1	NA	21	5	21	7	39	13	7	17	39	17
LOC101928894	NA	0	0	0	0	0	0	0	0	1	0
UQCR11	NA	1106	1195	471	340	816	680	690	552	712	617
DDB1	NA	2387	2748	1395	727	1449	1719	1982	1435	1510	1313
LINC01279	NA	2	0	0	1	2	1	1	4	6	7
LINC00864	NA	0	0	0	0	0	0	0	0	2	0
MYO9B	NA	5633	7850	3476	1334	3589	4191	5569	4698	4079	2847
MMP7	NA	18	38	38	58	264	76	154	177	401	570
MIR1976	NA	0	0	0	0	0	0	0	0	0	0
CRNKL1	NA	524	522	201	108	393	403	361	157	293	257
MIR618	NA	0	0	0	0	0	0	0	0	0	0
XAB2	NA	412	426	152	75	249	246	260	128	199	192
NIFK-AS1	NA	37	30	9	2	22	17	17	6	11	11
RTN1	NA	117	147	65	30	90	98	130	78	69	78
KLHL14	NA	0	3	0	0	0	0	1	0	0	0
ADAM21P1	NA	1	0	0	0	0	0	0	0	0	0
TBX10	NA	0	0	0	0	0	0	0	0	0	0
ZBTB12	NA	46	44	16	4	19	38	25	14	6	10
UTY	NA	449	521	213	121	334	0	0	0	0	0
CENPQ	NA	13	28	15	4	8	17	28	7	7	9
ZAR1L	NA	0	0	0	0	0	0	0	0	0	0
DTNBP1	NA	183	239	70	40	116	159	203	102	107	176
LINC00683	NA	0	1	1	0	0	1	0	0	0	0
MIR3156-3	NA	0	0	0	0	0	0	0	0	0	0
KBTBD8	NA	304	557	284	124	282	241	552	270	134	155
ZEB1	NA	6	15	10	13	26	16	23	9	40	13
ZG16	NA	0	0	0	0	0	0	0	0	0	0
PRKAG2-AS1	NA	6	7	2	1	1	1	4	5	3	0
FAT4	NA	0	3	0	0	0	0	0	0	0	0
LOC728040	NA	0	0	0	0	0	0	0	0	0	0
MIER1	NA	980	998	525	756	1665	732	829	636	1584	1296
SALRNA1	NA	0	0	0	0	0	0	0	0	0	0
CHD9	NA	3168	3614	1035	620	1686	2300	2307	987	1674	1406
STK16	NA	104	138	58	15	54	87	97	47	56	38
ARID3C	NA	0	0	0	0	0	0	0	0	0	0
TOB2	NA	820	524	397	807	1381	508	389	740	1238	1002
LOC101927769	NA	0	0	0	0	1	0	2	0	0	0
MIR1246	NA	0	0	0	0	0	0	0	0	0	0
INIP	NA	293	321	126	43	105	218	202	113	132	108
BANK1	NA	23	47	31	6	12	64	54	41	52	18
OR2V2	NA	0	0	0	0	0	0	0	0	0	0
MIR489	NA	0	0	0	0	0	0	0	0	0	0
SFTA2	NA	0	0	0	0	0	0	0	0	0	0
GRM2	NA	2	1	0	0	0	0	0	0	0	0
PROSC	NA	736	785	303	166	417	727	625	452	439	397
MIR4511	NA	0	0	0	0	0	0	0	0	0	0
SPIN2B	NA	24	22	15	0	6	13	11	9	4	3
PIR	NA	26	27	16	11	16	50	49	46	44	45
IPO9	NA	930	1046	460	233	533	737	859	567	568	562
FLJ26850	NA	0	0	0	0	0	0	0	0	0	0
TTTY1B	NA	0	0	0	0	0	0	0	0	0	0
EVC	NA	40	54	18	15	39	58	98	65	75	51
CXCL13	NA	0	1	0	0	0	0	0	0	0	0
EHHADH-AS1	NA	0	0	0	0	0	0	0	0	0	0
SORL1	NA	826	1129	519	312	613	588	788	658	662	539
NAT10	NA	600	654	241	100	190	398	452	283	272	273
CHD1	NA	1296	1835	1181	683	1304	939	1649	1120	1251	1036
SYN3	NA	0	0	0	0	1	0	0	2	0	0
LINC00210	NA	0	0	0	0	0	0	0	0	0	0
SLC22A2	NA	0	0	0	0	0	0	0	0	0	0
SERPINF1	NA	11	8	5	7	13	17	37	18	25	46
WDR34	NA	9	15	6	5	3	10	13	4	5	7
OR7A17	NA	0	0	0	0	0	0	0	0	0	0
SUGCT	NA	2	0	0	0	0	1	0	1	0	0
POTED	NA	0	0	0	0	0	0	0	1	0	0
EPT1	NA	241	331	169	237	719	235	303	187	539	564
PCAT19	NA	0	2	0	0	0	0	0	1	0	0
LOC101929717	NA	0	0	0	0	0	0	1	0	0	0
LHB	NA	0	0	0	1	0	0	0	0	0	0
TAOK3	NA	1847	2111	1377	1262	1718	1280	1575	1881	1564	1257
STK25	NA	314	382	153	82	191	219	269	245	179	152
OR10X1	NA	0	0	0	0	0	0	0	0	0	0
TMC3-AS1	NA	2	0	0	0	1	0	0	0	0	0
CDC25B	NA	477	566	281	109	258	302	388	315	285	245
BMP3	NA	0	0	0	0	0	0	0	0	0	0
TMEM180	NA	93	140	62	26	47	75	93	73	62	38
MAP1LC3C	NA	3	0	0	1	0	7	16	10	9	4
CRYGC	NA	0	0	0	0	0	0	0	0	0	0
POU3F1	NA	12	11	0	0	0	10	11	1	0	4
LOC101928222	NA	0	0	0	0	0	0	0	1	0	0
LINC01247	NA	0	0	0	0	0	1	0	2	0	4
HIGD1B	NA	1	0	0	2	0	0	1	1	0	0
USP6NL	NA	214	320	197	270	477	247	273	337	565	483
LINC00460	NA	0	0	0	0	0	0	0	0	0	0
ABCD4	NA	245	276	142	45	100	150	180	124	89	76
LOC102546298	NA	0	0	0	0	0	0	0	0	0	0
TEK	NA	0	0	2	0	0	1	0	0	0	0
SLC25A46	NA	987	1097	438	162	411	744	811	455	379	457
LARP7	NA	266	466	211	139	315	262	336	207	269	328
LOC100996694	NA	0	0	0	0	0	0	0	0	0	0
FAAHP1	NA	0	0	0	0	0	0	0	0	0	0
CD160	NA	0	1	6	0	0	1	0	1	0	0
NUTM2G	NA	15	5	13	9	27	13	10	19	37	17
MT1JP	NA	0	0	0	0	0	0	0	0	0	0
PHF20	NA	790	829	239	180	442	573	535	263	428	428
CPNE4	NA	4	11	5	3	9	0	1	2	1	2
HNF1A-AS1	NA	0	0	0	0	0	1	1	1	0	1
GTPBP1	NA	514	723	537	903	2935	313	377	683	1755	1614
MIR6746	NA	0	0	0	0	0	0	0	0	0	0
RAB33B	NA	129	71	31	42	85	104	99	58	90	71
GLUD1P7	NA	0	0	0	0	0	0	0	0	0	0
ALDOC	NA	18	19	10	4	6	35	45	30	30	32
ZNF212	NA	95	66	41	15	50	50	39	50	45	41
NUDT1	NA	113	110	52	24	65	62	84	73	99	89
FAM170B-AS1	NA	2	0	2	0	7	1	0	0	0	0
RFPL2	NA	0	1	0	0	0	0	0	0	0	0
ZNF83	NA	200	175	63	41	99	185	135	90	92	100
IPW	NA	23	23	3	2	9	9	3	6	9	4
MIR630	NA	0	0	0	0	0	0	0	0	0	0
GDPD5	NA	38	48	26	11	6	62	65	36	18	17
PDCD4	NA	1374	1595	683	186	302	773	1001	510	236	143
CEP350	NA	2439	2765	1146	1315	2605	1661	1758	1311	2719	2469
LINC01441	NA	1	2	0	0	2	0	6	3	1	13
ARL14EPL	NA	0	1	0	0	0	0	0	0	0	0
OR10A2	NA	0	0	0	0	0	0	0	0	0	0
CST7	NA	55	69	40	31	97	3	5	9	6	12
SELL	NA	82	65	32	33	41	34	57	46	93	91
CIAO1	NA	1220	1357	514	158	374	881	921	549	405	368
SNORD115-26	NA	0	0	0	0	0	0	0	0	0	0
RNF223	NA	0	1	0	0	1	0	0	1	0	0
OR8J3	NA	0	0	0	0	0	0	0	0	0	0
LTBP4	NA	45	55	28	10	23	32	40	30	15	15
DCAF4L1	NA	2	0	1	7	1	6	1	3	5	3
